dataset_version,scenario_id,cat_key,label_0_100,C.VITC.1,v1,C.VITC.2,v2,C.VITC.3,v3,C.VITC.4,v4,C.VITC.5,v5,C.OME3.1,C.OME3.2,C.OME3.3,C.OME3.4,C.OME3.5,C.CA.1,C.CA.2,C.CA.3,C.CA.4,C.CA.5,C.LUT.1,C.LUT.2,C.LUT.3,C.LUT.4,C.LUT.5,C.VITD.1,C.VITD.2,C.VITD.3,C.VITD.4,C.VITD.5,C.MLK.1,C.MLK.2,C.MLK.3,C.MLK.4,C.MLK.5,C.PRO.1,C.PRO.2,C.PRO.3,C.PRO.4,C.PRO.5,C.VITB.1,C.VITB.2,C.VITB.3,C.VITB.4,C.VITB.5,C.MG.1,C.MG.2,C.MG.3,C.MG.4,C.MG.5,C.GAR.1,C.GAR.2,C.GAR.3,C.GAR.4,C.GAR.5,C.MV.1,C.MV.2,C.MV.3,C.MV.4,C.MV.5,C.ZN.1,C.ZN.2,C.ZN.3,C.ZN.4,C.ZN.5,C.PSY.1,C.PSY.2,C.PSY.3,C.PSY.4,C.PSY.5,C.MIN.1,C.MIN.2,C.MIN.3,C.MIN.4,C.MIN.5,C.VITA.1,C.VITA.2,C.VITA.3,C.VITA.4,C.VITA.5,C.FE.1,C.FE.2,C.FE.3,C.FE.4,C.FE.5,C.PS.1,C.PS.2,C.PS.3,C.PS.4,C.PS.5,C.FOL.1,C.FOL.2,C.FOL.3,C.FOL.4,C.FOL.5,C.ARG.1,C.ARG.2,C.ARG.3,C.ARG.4,C.ARG.5,C.CHO.1,C.CHO.2,C.CHO.3,C.CHO.4,C.CHO.5,C.COQ10.1,C.COQ10.2,C.COQ10.3,C.COQ10.4,C.COQ10.5,C.COL.1,C.COL.2,C.COL.3,C.COL.4,C.COL.5
c-1.0,S0042-vitc-0000,vitc,93,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.6666666666666666,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0001,vitc,13,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0002,vitc,92,2.0,0.6666666666666666,3.0,1.0,2.0,0.6666666666666666,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0003,vitc,94,2.0,0.6666666666666666,3.0,1.0,1.0,0.3333333333333333,0.0,0.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0004,vitc,53,1.0,0.3333333333333333,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0005,vitc,25,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0006,vitc,17,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0007,vitc,82,2.0,0.6666666666666666,1.0,0.3333333333333333,3.0,1.0,0.0,0.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0008,vitc,7,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-1.0,S0042-vitc-0009,vitc,94,1.0,0.3333333333333333,3.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
