dataset_version,scenario_id,cat_key,label_0_100,C.VITD.1,v1,C.VITD.2,v2,C.VITD.3,v3,C.VITD.4,v4,C.VITD.5,v5
c-1.0,S0042-vitd-0000,vitd,89,2,0.6666666666666666,1,0.3333333333333333,1,1.0,2,0.6666666666666666,3,1.0
c-1.0,S0042-vitd-0001,vitd,23,0,0.0,0,0.0,1,1.0,0,0.0,1,0.3333333333333333
c-1.0,S0042-vitd-0002,vitd,15,1,0.3333333333333333,0,0.0,1,1.0,0,0.0,0,0.0
c-1.0,S0042-vitd-0003,vitd,3,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333
c-1.0,S0042-vitd-0004,vitd,21,0,0.0,3,1.0,0,0.0,2,0.6666666666666666,1,0.3333333333333333
c-1.0,S0042-vitd-0005,vitd,7,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0
c-1.0,S0042-vitd-0006,vitd,19,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,2,0.6666666666666666
c-1.0,S0042-vitd-0007,vitd,74,2,0.6666666666666666,2,0.6666666666666666,0,0.0,3,1.0,2,0.6666666666666666
c-1.0,S0042-vitd-0008,vitd,0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,0,0.0
c-1.0,S0042-vitd-0009,vitd,85,2,0.6666666666666666,2,0.6666666666666666,0,0.0,2,0.6666666666666666,3,1.0
c-1.0,S0042-vitd-0010,vitd,5,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333
c-1.0,S0042-vitd-0011,vitd,83,2,0.6666666666666666,3,1.0,1,1.0,2,0.6666666666666666,2,0.6666666666666666
c-1.0,S0042-vitd-0012,vitd,92,3,1.0,2,0.6666666666666666,0,0.0,3,1.0,3,1.0
c-1.0,S0042-vitd-0013,vitd,86,2,0.6666666666666666,1,0.3333333333333333,1,1.0,3,1.0,1,0.3333333333333333
c-1.0,S0042-vitd-0014,vitd,62,0,0.0,2,0.6666666666666666,1,1.0,2,0.6666666666666666,2,0.6666666666666666
c-1.0,S0042-vitd-0015,vitd,83,2,0.6666666666666666,1,0.3333333333333333,1,1.0,3,1.0,2,0.6666666666666666
c-1.0,S0042-vitd-0016,vitd,18,1,0.3333333333333333,1,0.3333333333333333,0,0.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vitd-0017,vitd,68,1,0.3333333333333333,0,0.0,1,1.0,3,1.0,2,0.6666666666666666
c-1.0,S0042-vitd-0018,vitd,38,1,0.3333333333333333,1,0.3333333333333333,1,1.0,1,0.3333333333333333,0,0.0
c-1.0,S0042-vitd-0019,vitd,66,2,0.6666666666666666,2,0.6666666666666666,0,0.0,3,1.0,1,0.3333333333333333
c-1.0,S0042-vitd-0020,vitd,54,2,0.6666666666666666,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666
c-1.0,S0042-vitd-0021,vitd,41,2,0.6666666666666666,0,0.0,0,0.0,2,0.6666666666666666,2,0.6666666666666666
c-1.0,S0042-vitd-0022,vitd,34,1,0.3333333333333333,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666
c-1.0,S0042-vitd-0023,vitd,85,3,1.0,2,0.6666666666666666,1,1.0,1,0.3333333333333333,2,0.6666666666666666
c-1.0,S0042-vitd-0024,vitd,75,3,1.0,1,0.3333333333333333,0,0.0,2,0.6666666666666666,2,0.6666666666666666
c-1.0,S0042-vitd-0025,vitd,52,2,0.6666666666666666,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666
c-1.0,S0042-vitd-0026,vitd,89,2,0.6666666666666666,3,1.0,1,1.0,2,0.6666666666666666,2,0.6666666666666666
c-1.0,S0042-vitd-0027,vitd,75,3,1.0,1,0.3333333333333333,0,0.0,2,0.6666666666666666,2,0.6666666666666666
c-1.0,S0042-vitd-0028,vitd,56,3,1.0,2,0.6666666666666666,0,0.0,1,0.3333333333333333,1,0.3333333333333333
c-1.0,S0042-vitd-0029,vitd,10,0,0.0,0,0.0,0,0.0,3,1.0,1,0.3333333333333333
c-1.0,S0042-vitd-0030,vitd,6,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0
c-1.0,S0042-vitd-0031,vitd,29,2,0.6666666666666666,0,0.0,0,0.0,2,0.6666666666666666,1,0.3333333333333333
c-1.0,S0042-vitd-0032,vitd,51,0,0.0,3,1.0,0,0.0,3,1.0,3,1.0
c-1.0,S0042-vitd-0033,vitd,57,1,0.3333333333333333,1,0.3333333333333333,0,0.0,3,1.0,3,1.0
c-1.0,S0042-vitd-0034,vitd,63,2,0.6666666666666666,2,0.6666666666666666,0,0.0,1,0.3333333333333333,3,1.0
c-1.0,S0042-vitd-0035,vitd,63,2,0.6666666666666666,2,0.6666666666666666,0,0.0,1,0.3333333333333333,3,1.0
c-1.0,S0042-vitd-0036,vitd,23,1,0.3333333333333333,0,0.0,0,0.0,3,1.0,1,0.3333333333333333
c-1.0,S0042-vitd-0037,vitd,12,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
c-1.0,S0042-vitd-0038,vitd,5,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0
c-1.0,S0042-vitd-0039,vitd,37,1,0.3333333333333333,0,0.0,1,1.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vitd-0040,vitd,47,0,0.0,2,0.6666666666666666,1,1.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vitd-0041,vitd,81,2,0.6666666666666666,2,0.6666666666666666,1,1.0,1,0.3333333333333333,2,0.6666666666666666
c-1.0,S0042-vitd-0042,vitd,13,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333
c-1.0,S0042-vitd-0043,vitd,65,1,0.3333333333333333,3,1.0,1,1.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vitd-0044,vitd,94,2,0.6666666666666666,1,0.3333333333333333,1,1.0,3,1.0,3,1.0
c-1.0,S0042-vitd-0045,vitd,79,2,0.6666666666666666,2,0.6666666666666666,1,1.0,2,0.6666666666666666,1,0.3333333333333333
c-1.0,S0042-vitd-0046,vitd,18,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333
c-1.0,S0042-vitd-0047,vitd,57,1,0.3333333333333333,2,0.6666666666666666,0,0.0,3,1.0,2,0.6666666666666666
c-1.0,S0042-vitd-0048,vitd,26,1,0.3333333333333333,0,0.0,1,1.0,1,0.3333333333333333,0,0.0
c-1.0,S0042-vitd-0049,vitd,54,1,0.3333333333333333,1,0.3333333333333333,1,1.0,0,0.0,2,0.6666666666666666
c-1.0,S0042-vitd-0050,vitd,18,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,3,1.0
c-1.0,S0042-vitd-0051,vitd,9,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0
