Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,비타민C,오메가3,칼슘,루테인,비타민D,밀크씨슬(실리마린),프로바이오틱스(유산균),비타민B,마그네슘,가르시니아,종합비타민,아연,차전자피 식이섬유,미네랄,비타민A,철분,포스파티딜세린,엽산,아르기닌,콘드로이친,코엔자임Q10,콜라겐
1,5,1,1,5,1,5,1,1,5,0.581706,0.538337,1.000000,1.000000,1.000000,0.005943,0.000000,0.000000,0.017491,0.000000,0.702048,0.539562,0.000000,0.291133,0.533362,0.456007,0.009463,1.000000,0.000000,1.000000,0.074033,0.427713
3,3,3,2,2,4,3,3,4,4,0.510395,0.696859,0.528451,0.520719,0.439194,0.529633,0.291115,0.563080,0.654495,0.742994,0.516315,0.278252,0.509590,0.716995,0.658607,0.646530,0.529450,0.774814,0.518786,0.524226,0.643046,0.655592
3,4,3,2,4,2,2,2,3,2,0.595443,0.414104,0.776523,0.252032,0.812882,0.274506,0.296830,0.416833,0.486383,0.551109,0.593613,0.563803,0.403765,0.557941,0.210575,0.420083,0.535686,0.275862,0.518425,0.766277,0.511128,0.455908
5,5,1,5,5,1,1,1,5,5,0.603787,0.727271,1.000000,0.022623,1.000000,0.000000,1.000000,0.442074,0.488852,1.000000,1.000000,1.000000,1.000000,0.713480,0.016252,1.000000,0.105451,1.000000,1.000000,1.000000,1.000000,0.384582
2,4,4,3,4,3,3,3,4,3,0.697583,0.687758,0.777378,0.493481,0.770411,0.512834,0.556039,0.493455,0.744799,0.730003,0.617848,0.662585,0.645214,0.671480,0.521069,0.382878,0.753550,0.522326,0.262558,0.774783,0.504865,0.624287
3,3,3,4,4,4,3,3,3,2,0.803007,0.464632,0.549349,0.460626,0.660349,0.497340,0.812144,0.574393,0.523084,0.508900,0.579584,0.748706,0.638807,0.615095,0.631703,0.406329,0.560621,0.271532,0.505365,0.507432,0.544426,0.685344
5,5,5,5,5,5,5,5,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,5,5,5,5,5,5,5,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,2,3,3,3,4,3,3,3,3,0.680723,0.543266,0.277649,0.508319,0.409002,0.525641,0.520728,0.581341,0.541699,0.542669,0.578492,0.519639,0.514763,0.528365,0.642613,0.510392,0.500933,0.530398,0.535607,0.254123,0.507822,0.591532
5,5,1,5,1,5,5,5,1,1,0.450769,0.324816,1.000000,1.000000,0.557090,1.000000,1.000000,0.723332,0.053290,0.013858,0.363434,0.476896,0.607489,0.716896,1.000000,0.497129,0.000000,0.030394,0.987270,1.000000,0.526347,1.000000
